199,Coil 1 nmr spectrum,PAS_C1_V68,double,10,,,,,,1
200,Coil 1 nmr spectrum,PAS_C1_V69,double,10,,,,,,1
201,Coil 1 nmr spectrum,PAS_C1_V70,double,10,,,,,,1
202,Coil 1 nmr spectrum,PAS_C1_V71,double,10,,,,,,1
203,Coil 1 nmr spectrum,PAS_C1_V72,double,10,,,,,,1
204,Coil 1 nmr spectrum,PAS_C1_V73,double,10,,,,,,1
205,Coil 1 nmr spectrum,PAS_C1_V74,double,10,,,,,,1
206,Coil 1 nmr spectrum,PAS_C1_V75,double,10,,,,,,1
207,Coil 1 nmr spectrum,PAS_C1_V76,double,10,,,,,,1
208,Coil 1 nmr spectrum,PAS_C1_V77,double,10,,,,,,1
209,Coil 1 nmr spectrum,PAS_C1_V78,double,10,,,,,,1
210,Coil 1 nmr spectrum,PAS_C1_V79,double,10,,,,,,1
211,Coil 1 nmr spectrum,PAS_C1_V80,double,10,,,,,,1
212,Coil 1 nmr spectrum,PAS_C1_V81,double,10,,,,,,1
213,Coil 1 nmr spectrum,PAS_C1_V82,double,10,,,,,,1
214,Coil 1 nmr spectrum,PAS_C1_V83,double,10,,,,,,1
215,Coil 1 nmr spectrum,PAS_C1_V84,double,10,,,,,,1
216,Coil 1 nmr spectrum,PAS_C1_V85,double,10,,,,,,1
217,Coil 1 nmr spectrum,PAS_C1_V86,double,10,,,,,,1
218,Coil 1 nmr spectrum,PAS_C1_V87,double,10,,,,,,1
219,Coil 1 nmr spectrum,PAS_C1_V88,double,10,,,,,,1
220,Coil 1 nmr spectrum,PAS_C1_V89,double,10,,,,,,1
221,Coil 1 nmr spectrum,PAS_C1_V90,double,10,,,,,,1
222,Coil 1 nmr spectrum,PAS_C1_V91,double,10,,,,,,1
223,Coil 1 nmr spectrum,PAS_C1_V92,double,10,,,,,,1
224,Coil 1 nmr spectrum,PAS_C1_V93,double,10,,,,,,1
225,Coil 1 nmr spectrum,PAS_C1_V94,double,10,,,,,,1
226,Coil 1 nmr spectrum,PAS_C1_V95,double,10,,,,,,1
227,Coil 1 nmr spectrum,PAS_C1_V96,double,10,,,,,,1
228,Coil 1 nmr spectrum,PAS_C1_V97,double,10,,,,,,1
229,Coil 1 nmr spectrum,PAS_C1_V98,double,10,,,,,,1
230,Coil 1 nmr spectrum,PAS_C1_V99,double,10,,,,,,1
231,Coil 1 nmr spectrum,PAS_C1_V100,double,10,,,,,,1
232,Coil 1 nmr spectrum,PAS_C1_V101,double,10,,,,,,1
233,Coil 1 nmr spectrum,PAS_C1_V102,double,10,,,,,,1
234,Coil 1 nmr spectrum,PAS_C1_V103,double,10,,,,,,1
235,Coil 1 nmr spectrum,PAS_C1_V104,double,10,,,,,,1
236,Coil 1 nmr spectrum,PAS_C1_V105,double,10,,,,,,1
237,Coil 1 nmr spectrum,PAS_C1_V106,double,10,,,,,,1
238,Coil 1 nmr spectrum,PAS_C1_V107,double,10,,,,,,1
239,Coil 1 nmr spectrum,PAS_C1_V108,double,10,,,,,,1
240,Coil 1 nmr spectrum,PAS_C1_V109,double,10,,,,,,1
241,Coil 1 nmr spectrum,PAS_C1_V110,double,10,,,,,,1
242,Coil 1 nmr spectrum,PAS_C1_V111,double,10,,,,,,1
