169,DP1; LT qdrnt; brd 2; SiPM 5 voltage,DP1_LT2_CH5_V,double,1,V,49.5,52.25,57.75,60.5,2,1
170,DP1; LT qdrnt; brd 2; SiPM 6 voltage,DP1_LT2_CH6_V,double,1,V,49.5,52.25,57.75,60.5,2,1
171,DP1; LT qdrnt; brd 2; SiPM 7 voltage,DP1_LT2_CH7_V,double,1,V,49.5,52.25,57.75,60.5,2,1
172,DP1; LT qdrnt; brd 2; SiPM 8 voltage,DP1_LT2_CH8_V,double,1,V,49.5,52.25,57.75,60.5,2,1
173,DP1; LT qdrnt; brd 2; SiPM 9 voltage,DP1_LT2_CH9_V,double,1,V,49.5,52.25,57.75,60.5,2,1
174,DP1; LT qdrnt; brd 2; SiPM 10 voltage,DP1_LT2_CH10_V,double,1,V,49.5,52.25,57.75,60.5,2,1
175,DP1; LT qdrnt; brd 2; SiPM 11 voltage,DP1_LT2_CH11_V,double,1,V,49.5,52.25,57.75,60.5,2,1
176,DP1; LT qdrnt; brd 2; SiPM 12 voltage,DP1_LT2_CH12_V,double,1,V,49.5,52.25,57.75,60.5,2,1
177,DP1; LT qdrnt; brd 2; SiPM 13 voltage,DP1_LT2_CH13_V,double,1,V,49.5,52.25,57.75,60.5,2,1
178,DP1; LT qdrnt; brd 2; SiPM 14 voltage,DP1_LT2_CH14_V,double,1,V,49.5,52.25,57.75,60.5,2,1
179,DP1; LT qdrnt; brd 2; SiPM 15 voltage,DP1_LT2_CH15_V,double,1,V,49.5,52.25,57.75,60.5,2,1
180,DP1; LT qdrnt; brd 2; SiPM 16 voltage,DP1_LT2_CH16_V,double,1,V,49.5,52.25,57.75,60.5,2,1
181,DP1; LT qdrnt; brd 2; SiPM 17 voltage,DP1_LT2_CH17_V,double,1,V,49.5,52.25,57.75,60.5,2,1
182,DP1; LT qdrnt; brd 2; SiPM 18 voltage,DP1_LT2_CH18_V,double,1,V,49.5,52.25,57.75,60.5,2,1
183,DP1; LT qdrnt; brd 2; SiPM 19 voltage,DP1_LT2_CH19_V,double,1,V,49.5,52.25,57.75,60.5,2,1
184,DP1; LT qdrnt; brd 2; SiPM 20 voltage,DP1_LT2_CH20_V,double,1,V,49.5,52.25,57.75,60.5,2,1
185,DP1; LT qdrnt; brd 3; SiPM 1 voltage,DP1_LT3_CH1_V,double,1,V,49.5,52.25,57.75,60.5,2,1
186,DP1; LT qdrnt; brd 3; SiPM 2 voltage,DP1_LT3_CH2_V,double,1,V,49.5,52.25,57.75,60.5,2,1
187,DP1; LT qdrnt; brd 3; SiPM 3 voltage,DP1_LT3_CH3_V,double,1,V,49.5,52.25,57.75,60.5,2,1
188,DP1; LT qdrnt; brd 3; SiPM 4 voltage,DP1_LT3_CH4_V,double,1,V,49.5,52.25,57.75,60.5,2,1
189,DP1; LT qdrnt; brd 3; SiPM 5 voltage,DP1_LT3_CH5_V,double,1,V,49.5,52.25,57.75,60.5,2,1
190,DP1; LT qdrnt; brd 3; SiPM 6 voltage,DP1_LT3_CH6_V,double,1,V,49.5,52.25,57.75,60.5,2,1
191,DP1; LT qdrnt; brd 3; SiPM 7 voltage,DP1_LT3_CH7_V,double,1,V,49.5,52.25,57.75,60.5,2,1
192,DP1; LT qdrnt; brd 3; SiPM 8 voltage,DP1_LT3_CH8_V,double,1,V,49.5,52.25,57.75,60.5,2,1
193,DP1; LT qdrnt; brd 3; SiPM 9 voltage,DP1_LT3_CH9_V,double,1,V,49.5,52.25,57.75,60.5,2,1
194,DP1; LT qdrnt; brd 3; SiPM 10 voltage,DP1_LT3_CH10_V,double,1,V,49.5,52.25,57.75,60.5,2,1
195,DP1; LT qdrnt; brd 3; SiPM 11 voltage,DP1_LT3_CH11_V,double,1,V,49.5,52.25,57.75,60.5,2,1
196,DP1; LT qdrnt; brd 3; SiPM 12 voltage,DP1_LT3_CH12_V,double,1,V,49.5,52.25,57.75,60.5,2,1
197,DP1; LT qdrnt; brd 3; SiPM 13 voltage,DP1_LT3_CH13_V,double,1,V,49.5,52.25,57.75,60.5,2,1
198,DP1; LT qdrnt; brd 3; SiPM 14 voltage,DP1_LT3_CH14_V,double,1,V,49.5,52.25,57.75,60.5,2,1
199,DP1; LT qdrnt; brd 3; SiPM 15 voltage,DP1_LT3_CH15_V,double,1,V,49.5,52.25,57.75,60.5,2,1
200,DP1; LT qdrnt; brd 3; SiPM 16 voltage,DP1_LT3_CH16_V,double,1,V,49.5,52.25,57.75,60.5,2,1
201,DP1; LT qdrnt; brd 3; SiPM 17 voltage,DP1_LT3_CH17_V,double,1,V,49.5,52.25,57.75,60.5,2,1
202,DP1; LT qdrnt; brd 3; SiPM 18 voltage,DP1_LT3_CH18_V,double,1,V,49.5,52.25,57.75,60.5,2,1
203,DP1; LT qdrnt; brd 3; SiPM 19 voltage,DP1_LT3_CH19_V,double,1,V,49.5,52.25,57.75,60.5,2,1
204,DP1; LT qdrnt; brd 3; SiPM 20 voltage,DP1_LT3_CH20_V,double,1,V,49.5,52.25,57.75,60.5,2,1
